"Composite Scores For Private, Non-Profit and Proprietary Institutions with Fiscal Years Ending Between 7/1/2022 and 6/30/2023
Grouped by:  State, Institution Name
283.0,04278800,Los Angeles Pacific University,San Dimas,CA,91773-1741,45107.0,Non Profit,3.0
284.0,01164900,Loyola Marymount University,Los Angeles,CA,90045-2659,45077.0,Non Profit,3.0
285.0,01186600,Lu Ross Academy,Ventura,CA,93001-2927,44926.0,Proprietary,2.4
286.0,00714200,Lyle's College of Beauty,Fresno,CA,93710-3948,45046.0,Proprietary,3.0
287.0,01324000,Lytle's Redwood Empire Beauty College,Santa Rosa,CA,95403-7757,45107.0,Proprietary,2.5
288.0,03440400,Marian Health Careers Center,Los Angeles,CA,90010-1728,44926.0,Proprietary,2.1
289.0,00123000,Marshall B. Ketchum University,Fullerton,CA,92831-1699,45107.0,Non Profit,3.0
290.0,00122000,Master's University and Seminary (The),Santa Clarita,CA,91321-1200,45107.0,Non Profit,3.0
291.0,04115600,Mayfield College,Cathedral City,CA,92234-7014,44926.0,Proprietary,2.1
292.0,04185600,Medical Allied Career Center,Santa Fe Springs,CA,90670-4710,44926.0,Proprietary,2.1
293.0,04137600,Medical Career College of Northern California,Roseville,CA,95678-5133,44926.0,Proprietary,1.3
294.0,00123600,Menlo College,Atherton,CA,94027-4301,45107.0,Non Profit,1.5
295.0,04271100,Meridian University,Petaluma,CA,94952-3092,44804.0,Proprietary,1.8
296.0,04281100,MIXED Institute of Cosmetology & Barber,Sacramento,CA,95823-2370,45107.0,Proprietary,2.2
297.0,00720400,Modern Beauty Academy,Oxnard,CA,93030-7016,44926.0,Proprietary,3.0
298.0,03063400,Modern Technology School,Fountain Valley,CA,92708-1336,44926.0,Proprietary,3.0
299.0,02185800,Moler Barber College,Oakland,CA,94607-1931,44926.0,Proprietary,1.7
300.0,00124300,Mount Saint Mary's University,Los Angeles,CA,90049-1599,45107.0,Non Profit,2.2
301.0,01291200,MTI College,Sacramento,CA,95841-3037,44926.0,Proprietary,-0.2
302.0,02161800,Musicians Institute,Hollywood,CA,90028-6157,44834.0,Proprietary,1.0
303.0,03458300,My Le's Beauty College,Sacramento,CA,95823-2513,44926.0,Proprietary,3.0
304.0,04146000,National Career College,Panorama City,CA,91402-4222,44926.0,Proprietary,2.4
305.0,02542300,National Holistic Institute,Emeryville,CA,94608-2020,44926.0,Proprietary,1.8
306.0,03910400,National Polytechnic College,Lakewood,CA,90712-1043,44926.0,Proprietary,2.1
307.0,01146000,National University,San Diego,CA,92123-1426,45107.0,Non Profit,2.2
308.0,04118800,New York Film Academy,Burbank,CA,91505-4068,44926.0,Proprietary,1.4
309.0,00718700,North Adrian's College of Beauty,Modesto,CA,95350-2381,44985.0,Proprietary,1.5
310.0,02591600,North-West College,Van Nuys,CA,91411-1611,44926.0,Proprietary,3.0
311.0,01287200,North-West College,Pomona,CA,91768-3199,44926.0,Proprietary,3.0
312.0,01170700,North-West College,West Covina,CA,91790-2097,44926.0,Proprietary,3.0
313.0,00117900,Notre Dame de Namur University,Belmont,CA,94002-1997,45107.0,Non Profit,0.6
314.0,03590400,NTMA Machinist Career College,Santa Fe Springs,CA,90670-3722,44985.0,Non Profit,2.1
315.0,04304100,Nurse Academy (The),National City,CA,91950-2964,44926.0,Proprietary,1.6
316.0,04293400,Oak Valley College,Rialto,CA,92377-8119,45107.0,Non Profit,3.0
317.0,00124900,Occidental College,Los Angeles,CA,90041-3314,45107.0,Non Profit,3.0
318.0,00125100,Otis College of Art and Design,Los Angeles,CA,90045-3505,45107.0,Non Profit,2.6
319.0,03299300,Pacific College,Costa Mesa,CA,92626-3402,44926.0,Proprietary,2.9
320.0,00125500,Pacific Oaks College,Pasadena,CA,91103-3606,45077.0,Non Profit,3.0
321.0,00125600,Pacific School of Religion,Berkeley,CA,94709-1323,45107.0,Non Profit,3.0
322.0,03163300,Pacific States University,Los Angeles,CA,90010-2263,44834.0,Non Profit,1.1
323.0,00125800,Pacific Union College,Angwin,CA,94508-9797,45107.0,Non Profit,-0.2
324.0,03126800,Pacifica Graduate Institute,Carpinteria,CA,93013-3019,44804.0,Proprietary,2.4
325.0,04014400,Palladium Technical Academy,Temple City,CA,91780-4027,44926.0,Proprietary,1.6
326.0,02138300,Palo Alto University,Palo Alto,CA,94304-1337,44773.0,Non Profit,2.9
327.0,02537200,Palomar Institute of Cosmetology,San Marcos,CA,92078-2644,44926.0,Proprietary,3.0
328.0,01044100,Pardee RAND Graduate School,Santa Monica,CA,90407-2138,44834.0,Non Profit,2.2
329.0,04138700,Paul Mitchell the School - Pasadena,Pasadena,CA,91101-0000,44926.0,Proprietary,1.9
330.0,02531800,Paul Mitchell The School Costa Mesa,Costa Mesa,CA,92626-3804,44926.0,Proprietary,2.9
331.0,04175200,Paul Mitchell The School East Bay,Pleasant Hill,CA,94523-5515,44926.0,Proprietary,3.0
332.0,04165900,Paul Mitchell The School Fresno,Fresno,CA,93710-7617,45016.0,Proprietary,3.0
333.0,04162800,Paul Mitchell The School Modesto,Modesto,CA,95350-1440,44926.0,Proprietary,1.9
334.0,04152800,Paul Mitchell The School Sacramento,Sacramento,CA,95825-2276,45107.0,Proprietary,2.8
335.0,04290500,Paul Mitchell The School San Jose,San Jose,CA,95122-1409,44926.0,Proprietary,2.7
336.0,04158200,Paul Mitchell The School Sherman Oaks,Sherman Oaks,CA,91403-5882,44926.0,Proprietary,1.9
337.0,04167000,Paul Mitchell the School Temecula,Temecula,CA,92591-4663,45107.0,Proprietary,3.0
338.0,03479300,PCI College,Cerritos,CA,90703-2522,44926.0,Proprietary,1.6
339.0,01014900,Pepperdine University,Malibu,CA,90263-4301,44773.0,Non Profit,2.7
340.0,00117200,Pitzer College,Claremont,CA,91711-6101,45107.0,Non Profit,3.0
341.0,03062700,Platt College,Alhambra,CA,91803-9998,44926.0,Proprietary,2.4
342.0,00126200,Point Loma Nazarene University,San Diego,CA,92106-2899,45107.0,Non Profit,3.0
343.0,00117300,Pomona College,Claremont,CA,91711-6301,45107.0,Non Profit,2.9
344.0,03125800,Premiere Career College,Irwindale,CA,91706-3746,45107.0,Proprietary,1.5
345.0,04122800,Presbyterian Theological Seminary in America,Santa Fe Springs,CA,90670-5611,45107.0,Non Profit,3.0
346.0,04235500,Presidio Graduate School,San Anselmo,CA,94960-4127,45107.0,Non Profit,2.0
347.0,04272100,Princess Institute of Beauty,Reedley,CA,93654-2455,45107.0,Proprietary,-0.8
348.0,03367300,Professional Golfers Career College,Temecula,CA,92591-6013,44926.0,Proprietary,2.8
349.0,01298400,Professional Institute of Beauty,El Monte,CA,91731-2613,44773.0,Proprietary,3.0
350.0,04153900,Providence Christian College,Pasadena,CA,91101-1632,45107.0,Non Profit,1.5
351.0,04263700,Reach University,Oakland,CA,94612-1278,45107.0,Non Profit,3.0
352.0,00720900,Redondo Beach Beauty College,Torrance,CA,90505-5909,44926.0,Proprietary,1.6
353.0,04255400,Regan Career Institute,El Monte,CA,91733-3254,44926.0,Proprietary,2.9
354.0,04281300,Reiss-Davis Graduate School (The),Los Angeles,CA,90034-3710,45107.0,Non Profit,2.8
355.0,04291600,Riggins Urban Barber College,San Diego,CA,92114-3618,44926.0,Proprietary,2.9
356.0,04253700,Sacramento Ultrasound Institute,Sacramento,CA,95815-5097,44926.0,Proprietary,-1.0
357.0,00130200,Saint Mary's College of California,Moraga,CA,94575-2744,45107.0,Non Profit,1.9
358.0,04237100,Salon Professional Academy (The),San Jose,CA,95129-5101,45107.0,Proprietary,2.0
359.0,02211000,Salon Success Academy,Riverside,CA,92506-4018,44926.0,Proprietary,2.1
360.0,01309500,Salon Success Academy,Corona,CA,92881-3415,44926.0,Proprietary,2.1
361.0,00720300,Salon Success Academy,Upland,CA,91786-4060,45107.0,Proprietary,2.4
362.0,00701200,Samuel Merritt University,Oakland,CA,94609-3108,44926.0,Non Profit,2.2
363.0,04256400,San Bernardino Beauty College,San Bernardino,CA,92410-4414,44926.0,Proprietary,3.0
364.0,04265700,San Diego Global Knowledge University,San Diego,CA,92101-7446,44926.0,Proprietary,3.0
365.0,00127800,San Francisco Conservatory of Music,San Francisco,CA,94102-6011,45107.0,Non Profit,3.0
366.0,04234000,San Francisco Film School,San Francisco,CA,94104-2835,44926.0,Proprietary,1.8
367.0,04141300,San Francisco Institute of Esthetics & Cosmetology,San Francisco,CA,94103-4083,44926.0,Proprietary,3.0
368.0,04273400,San Francisco School of Massage & Bodywork,San Francisco,CA,94103-3416,44926.0,Proprietary,1.0
369.0,02500000,San Joaquin College of Law,Clovis,CA,93612-1312,44773.0,Non Profit,2.2
370.0,02120700,San Joaquin Valley College,Visalia,CA,93291-9283,44926.0,Proprietary,2.2
371.0,04173400,Santa Ana Beauty Academy,Santa Ana,CA,92705-7820,44926.0,Proprietary,2.4
372.0,04190800,Santa Ana Beauty College,Santa Ana,CA,92706-2321,44773.0,Proprietary,2.5
373.0,04250100,Santa Barbara and Ventura Colleges of Law (The),Ventura,CA,93003-7774,45077.0,Non Profit,3.0
374.0,00132600,Santa Clara University,Santa Clara,CA,95053-4956,45107.0,Non Profit,2.7
375.0,02120600,Saybrook University,Pasadena,CA,91103-3606,45077.0,Non Profit,3.0
376.0,00117400,Scripps College,Claremont,CA,91711-3948,45107.0,Non Profit,2.5
377.0,02359300,Shasta Bible College and Graduate School,Redding,CA,96002-1544,45077.0,Non Profit,2.2
378.0,04161700,Shasta School of Cosmetology,Redding,CA,96003-0000,45016.0,Proprietary,3.0
379.0,02064300,Sierra College of Beauty,Merced,CA,95340-4402,44926.0,Proprietary,1.9
380.0,00129100,Simpson University,Redding,CA,96003-8606,45046.0,Non Profit,2.2
381.0,03639300,Smith Chason College,Los Angeles,CA,90010-2502,44926.0,Proprietary,1.6
382.0,02267600,Sofia University,Palo Alto,CA,94303-4624,45107.0,Proprietary,1.5
383.0,03814400,Soka University of America,Aliso Viejo,CA,92656-8081,45107.0,Non Profit,2.2
384.0,02597300,South Baylo University,Anaheim,CA,92801-1701,45107.0,Non Profit,1.6
385.0,02277400,South Coast College,Orange,CA,92868-8124,45107.0,Proprietary,2.6
386.0,04298200,Southern California College of Barber and Beauty,Escondido,CA,92025-1801,44926.0,Proprietary,2.9
387.0,04181200,Southern California Health Institute (SOCHI),North Hollywood,CA,91601-2028,45107.0,Proprietary,1.9
388.0,02075800,Southern California Institute of Architecture (The),Los Angeles,CA,90013-1829,44804.0,Non Profit,2.2
389.0,03113600,Southern California Institute of Technology,Anaheim,CA,92801-5454,44926.0,Proprietary,3.0
390.0,03332300,Southern California Seminary,El Cajon,CA,92019-1109,44804.0,Non Profit,1.8
391.0,00122900,Southern California University of Health Sciences,Whittier,CA,90604-4051,44804.0,Non Profit,3.0
392.0,00129500,Southwestern Law School,Los Angeles,CA,90010-1106,45107.0,Non Profit,3.0
393.0,04290200,Sri Sai Krish Institute,Stanton,CA,90680-3957,44926.0,Proprietary,3.0
394.0,03889300,Stanbridge University,Irvine,CA,92612-1105,44926.0,Proprietary,3.0
395.0,00130500,Stanford University,Stanford,CA,94305-2004,44804.0,Non Profit,2.6
396.0,00408000,Starr King School for the Ministry,Oakland,CA,94612-2624,45107.0,Non Profit,2.2
397.0,03759300,Stellar Career College,Modesto,CA,95356-9327,44926.0,Proprietary,0.6
398.0,03752400,SUM Bible College & Theological Seminary,El Dorado Hills,CA,98762-5711,45107.0,Non Profit,2.1
399.0,03108100,Summit Career College,San Bernardino,CA,92408-2815,45077.0,Proprietary,2.5
400.0,02236400,"Thanh Le College, School of Cosmetology",Garden Grove,CA,92840-4100,44926.0,Proprietary,2.6
401.0,04158800,Theatre of Arts,Hollywood,CA,90028-6111,44834.0,Proprietary,1.0
402.0,02358000,Thomas Aquinas College,Santa Paula,CA,93060-9622,45107.0,Non Profit,1.4
403.0,01085400,Thomas Jefferson School of Law,San Diego,CA,92101-2928,45107.0,Non Profit,2.9
404.0,02255400,TONI&GUY Hairdressing Academy,Los Angeles,CA,90036-3901,44926.0,Proprietary,-1.0
405.0,04142600,Touro University,Vallejo,CA,94592-1118,45107.0,Non Profit,2.9
406.0,04142500,Touro University Worldwide,West Hollywood,CA,90046-4506,45107.0,Non Profit,2.9
407.0,01244600,Universal College of Beauty,Los Angeles,CA,90008-0044,44926.0,Proprietary,2.2
408.0,04245500,Universal Healthcare Careers College,Los Angeles,CA,90015-3811,44926.0,Proprietary,3.0
409.0,03995300,University of East-West Medicine,Sunnyvale,CA,94085-3922,44926.0,Proprietary,0.2
410.0,00121600,University of La Verne,La Verne,CA,91750-4443,45107.0,Non Profit,3.0
411.0,00132200,University of Redlands,Redlands,CA,92373-0999,45107.0,Non Profit,2.3
412.0,01039500,University of San Diego,San Diego,CA,92110-2492,45107.0,Non Profit,3.0
413.0,00132500,University of San Francisco,San Francisco,CA,94117-1080,45077.0,Non Profit,2.4
414.0,00117700,University of Silicon Valley,San Jose,CA,95134-1697,45107.0,Proprietary,2.3
415.0,00132800,University of Southern California,Los Angeles,CA,90089-0001,45107.0,Non Profit,2.5
416.0,00132900,University of the Pacific,Stockton,CA,95211-0197,45107.0,Non Profit,3.0
417.0,03696300,University of the West,Rosemead,CA,91770-3709,45107.0,Non Profit,3.0
418.0,02052300,University of West Los Angeles,Inglewood,CA,90301-4501,44926.0,Proprietary,2.9
419.0,04270000,Urban Barber College,Concord,CA,94520-2522,44926.0,Proprietary,2.3
420.0,04114500,Valley College of Medical Careers,West Hills,CA,91304-2354,44926.0,Proprietary,1.0
421.0,00129300,Vanguard University of Southern California,Costa Mesa,CA,92626-6597,45107.0,Non Profit,2.2
422.0,04273300,Victory Career College,Carson,CA,90746-3205,44926.0,Proprietary,2.4
423.0,02061600,Wayne's College of Beauty,Salinas,CA,93906-2830,44865.0,Proprietary,3.0
424.0,03698300,West Coast University,Los Angeles,CA,91606-3206,44926.0,Proprietary,1.6
425.0,04192500,Westchester College of Nursing & Allied Health,Los Angeles,CA,90045-3647,44926.0,Proprietary,1.8
426.0,04249600,Westcliff University,Irvine,CA,92614-5236,44926.0,Proprietary,1.6
427.0,02482700,Western University of Health Sciences,Pomona,CA,91766-1854,45107.0,Non Profit,3.0
428.0,02276800,Westminster Theological Seminary in California,Escondido,CA,92027-4128,45107.0,Non Profit,3.0
429.0,00134100,Westmont College,Santa Barbara,CA,93108-1099,45077.0,Non Profit,2.2
430.0,00134200,Whittier College,Whittier,CA,90608-4413,45107.0,Non Profit,2.2
431.0,00128100,William Jessup University,Rocklin,CA,95765-3784,45107.0,Non Profit,1.2
432.0,03868300,World Mission University,Los Angeles,CA,90020-1789,45107.0,Non Profit,3.0
433.0,00884600,Wright Institute (The),Berkeley,CA,94704-1796,45107.0,Non Profit,3.0
434.0,04211900,Xavier College School of Nursing,Stockton,CA,95202-1332,44926.0,Proprietary,2.2
435.0,03098200,Yo San University of Traditional Chinese Medicine,Los Angeles,CA,90066-1103,44926.0,Non Profit,2.2
436.0,04221700,ZMS The Academy,Los Angeles,CA,90033-1878,44926.0,Proprietary,2.0
437.0,04093300,Academy of Natural Therapy,Greeley,CO,80631-3425,44926.0,Proprietary,-0.4
438.0,04285700,Apex College of Veterinary Technology,Colorado Springs,CO,80903-3737,44926.0,Proprietary,1.7
439.0,03776300,Auguste Escoffier School of Culinary Arts,Boulder,CO,80305-5961,44926.0,Proprietary,2.8
440.0,03027400,Avalon Institute,Aurora,CO,80014-1193,44926.0,Proprietary,3.0
441.0,04167100,Aveda Institute Denver,Denver,CO,80204-0000,44926.0,Proprietary,2.4
442.0,01267000,Bel - Rea Institute of Animal Technology,Denver,CO,80247-3048,44926.0,Proprietary,1.8
443.0,04185000,Colorado Academy of Veterinary Technology,Colorado Springs,CO,80906-4944,44926.0,Proprietary,-1.0
444.0,03686300,Colorado Chinese Medicine University,Denver,CO,80206-2127,44926.0,Proprietary,3.0
445.0,00940100,Colorado Christian University,Lakewood,CO,80226-7449,45107.0,Non Profit,2.2
446.0,00134700,Colorado College,Colorado Springs,CO,80903-3294,45107.0,Non Profit,3.0
447.0,03584400,Colorado School of Healing Arts,Lakewood,CO,80226-4332,44926.0,Proprietary,1.8
448.0,01157200,Colorado School of Trades,Lakewood,CO,80215-2996,44926.0,Proprietary,2.7
449.0,01014800,Colorado Technical University,Colorado Springs,CO,80907-3896,44926.0,Proprietary,3.0
450.0,04148300,Denver College of Nursing,Denver,CO,80202-1213,45107.0,Proprietary,-0.5
451.0,00135200,Denver Seminary,Littleton,CO,80120-2192,45107.0,Non Profit,2.3
452.0,04172500,Dr. Ida Rolf Institute,Boulder,CO,80301-0000,44926.0,Non Profit,2.2
453.0,04195300,Elevate Salon Institute,Westminster,CO,80031-6458,44926.0,Proprietary,2.0
454.0,03006300,IBMC College,Fort Collins,CO,80525-3044,44926.0,Proprietary,-1.0
455.0,04121200,Institute of Taoist Education and Acupuncture,Louisville,CO,80027-1028,44804.0,Non Profit,2.4
456.0,01285000,International Salon and Spa Academy,Colorado Springs,CO,80918-3684,44926.0,Proprietary,2.9
457.0,03306300,Montessori Education Center of the Rockies,Denver,CO,80205-4972,45077.0,Non Profit,2.2
458.0,01300700,Nazarene Bible College,Colorado Springs,CO,80920-0000,45107.0,Non Profit,2.2
459.0,04170200,Paul Mitchell The School Colorado Springs,Colorado Springs,CO,80903-0000,44926.0,Proprietary,3.0
460.0,04221400,Paul Mitchell the School Denver,Lakewood,CO,80226-7395,45107.0,Proprietary,2.4
461.0,04177100,Pima Medical Institute,Aurora,CO,80012-3690,44926.0,Proprietary,2.3
462.0,03014900,Platt College,Greenwood Village,CO,80111-2417,44926.0,Proprietary,1.8
463.0,00136300,Regis University,Denver,CO,80221-1099,45046.0,Non Profit,2.2
464.0,00764900,Rocky Mountain College of Art + Design,Lakewood,CO,80214-1433,44926.0,Proprietary,1.9
465.0,04173800,Salon Professional Academy (The),Colorado Springs,CO,80918-2932,44926.0,Proprietary,1.6
466.0,04271000,Stacey James Institute,Parker,CO,80134-3358,44926.0,Proprietary,1.5
467.0,04100400,Taft University System (The),Denver,CO,80222-3317,44926.0,Proprietary,1.8
468.0,03670300,TIGI Hairdressing Academy Legacy,Colorado Springs,CO,80918-4001,44926.0,Proprietary,2.8
469.0,04285900,Tuana European Beauty Academy,Fort Collins,CO,80524-3302,44926.0,Proprietary,2.5
470.0,04179700,United Beauty College,Denver,CO,80219-2936,44926.0,Proprietary,3.0
471.0,00137100,University of Denver,Denver,CO,80208-2000,45107.0,Non Profit,2.8
472.0,04104300,Academy Di Capelli,Wallingford,CT,06492-0000,44926.0,Proprietary,3.0
473.0,00137400,Albertus Magnus College,New Haven,CT,06511-1189,45107.0,Non Profit,3.0
474.0,02106600,American Institute,West Hartford,CT,06110-1922,44926.0,Proprietary,3.0
475.0,04279000,American Institute of Healthcare & Technology,Stratford,CT,06615-7149,44926.0,Proprietary,1.9
476.0,04224200,Belle Academy of Cosmetology,Waterbury,CT,06704-0135,44926.0,Proprietary,3.0
477.0,04128800,Branford Academy of Hair & Cosmetology,Branford,CT,06405-6066,44926.0,Proprietary,1.3
478.0,00137900,Connecticut College,New London,CT,06320-4196,45107.0,Non Profit,2.8
479.0,02316600,Cortiva Institute,Cromwell,CT,06416-1649,44926.0,Proprietary,2.4
480.0,04249800,Dolce The Academy,Waterbury,CT,06705-3271,45107.0,Proprietary,2.8
481.0,00138500,Fairfield University,Fairfield,CT,06824-5171,45107.0,Non Profit,3.0
482.0,02244900,Goodwin University,East Hartford,CT,06118-9980,45107.0,Non Profit,2.9
483.0,00138700,Hartford International University for Religion and Peace,Hartford,CT,06105-2279,45107.0,Non Profit,3.0
484.0,00138900,Holy Apostles College & Seminary,Cromwell,CT,06416-2027,45107.0,Non Profit,2.2
485.0,03094800,Industrial Management & Training Institute,Waterbury,CT,06706-1211,44773.0,Proprietary,2.9
486.0,04152400,International Institute of Cosmetology,Wethersfield,CT,06109-0000,44926.0,Proprietary,2.5
487.0,00730300,Lincoln Technical Institute,New Britain,CT,06051-2904,44926.0,Proprietary,2.9
488.0,00139300,Mitchell College,New London,CT,06320-4498,45107.0,Non Profit,2.3
489.0,02202500,New England Tractor Trailer Training School of Connecticut,Somers,CT,06071-2036,44926.0,Proprietary,2.4
490.0,04145400,Oxford Academy of Hair Design,Seymour,CT,06483-2911,44926.0,Proprietary,3.0
491.0,00745900,Paier College,Bridgeport,CT,06604-3902,45107.0,Proprietary,1.8
